Port_IDs,PnL,Win_Rate,Win_Positions,Total_Positions
4030392204221219329,1347.75800996,0.0963855421686747,8,83
4030395639953224449,4424.09071098,0.19068736141906872,86,451
4030555430101054209,3298.86079001,0.2605042016806723,31,119
4030565764341697025,2401.57593396,0.4803921568627451,49,102
4030626027667524352,3774.79887887,0.5,113,226
4030635536196756737,2578.34975484,0.5263987391646966,668,1269
4030708912786799105,1612.84376999,0.03508771929824561,2,57
4031173908980084736,5345.31649571,0.3640552995391705,79,217
4031181049693676544,4546.57189156,0.24579124579124578,73,297
4031408429897920512,1351.26659997,0.04878048780487805,4,82
4031414524297538817,2525.9744649,0.3526570048309179,73,207
4031451549482615297,3121.37771527,0.38181818181818183,42,110
4031493134338259457,8887.1737933,0.37889688249400477,632,1668
4031673021422897664,1980.17103999,0.3105022831050228,68,219
4032403303704824321,1996.85520656,0.3873239436619718,55,142
4033614723417828608,4568.37208011,0.2540045766590389,111,437
4033639786957934336,2848.14185731,0.18796992481203006,25,133
4034359562055356161,5263.92021264,0.5089655172413793,369,725
4034786679304751616,2428.8095125,0.3737704918032787,114,305
4035034554469394176,2528.65246059,0.18571428571428572,65,350
4035430878731345664,2399.00872719,0.47674418604651164,41,86
4036548677626662656,3292.1177562,0.44274809160305345,58,131
4037073643537925121,1513.58301158,0.19002375296912113,80,421
4037121179310444801,7046.47500385,0.48928571428571427,685,1400
4037179073830813185,2314.23517387,0.4393939393939394,29,66
4037282461943784704,4622.9161153800005,0.34554973821989526,132,382
4037511388357114368,3561.73233415,0.4625,407,880
4037717032428033792,1858.31772538,0.32362459546925565,100,309
4037785885739608577,1934.5792352600001,0.24081632653061225,59,245
4038768306117031680,1738.73190375,0.2,19,95
4039129759104249600,1243.08169114,0.4496124031007752,58,129
4039279455324236544,1023.49838734,0.5516129032258065,171,310
4040382575336130560,0.0,0.0,0,70
4040843843196854529,2043.4781,0.2708333333333333,13,48
4041804592937345281,-796.68268552,0.22727272727272727,75,330
4041860229502600193,2327.33599982,0.4,38,95
